Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Tunisia,TUN,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-0.3715771,-0.0488823,-0.2307968,-0.1547903,-0.2831211,-0.0584308999999999,-0.114220499999999,-0.298259899999999,-0.2882811,-0.1941292,0.0507,0.0016466,-0.0117731,0.012509,-0.0143711,-0.0577612999999999,-0.0490023999999999,0.00133739999999999,-0.0286669999999999,-0.019263,-0.1415165,-0.1992466,-0.192361099999999,-0.220154599999999
Tunisia,TUN,Control of Corruption - Lower bound of the 90% confidence interval for the governance score,GOV_WGI_CC.SC_LB,32.6428305,39.6542491,35.9720205,38.476629,35.8790167,40.4270911,39.297824,35.6173786,35.8193649,37.7251438,42.7996581,42.4589627,42.232553,42.72406,42.1799655,41.2301538,41.4074473,42.4264021,41.819067,42.0094184,39.53482,38.3662742,38.5056473,37.9747907
Tunisia,TUN,Control of Corruption - Standard error of the governance estimate,GOV_WGI_CC.SE,0.2316749,0.217228,0.217228,0.1881246,0.1881246,0.1881246,0.1881246,0.1867752,0.1867752,0.1867752,0.1831966,0.1635491,0.1621867,0.1621867,0.1621867,0.1643414,0.1643414,0.1643414,0.1643414,0.1643414,0.1643414,0.1643414,0.1643414,0.1633857
Tunisia,TUN,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,0.5323842,0.4587511,0.2272092,0.2763063,0.267202,0.5228632,0.5739597,0.5209222,0.5437486,0.351978,0.1431788,0.1317565,-0.0619573,-0.0117935,-0.0139338999999999,-0.0573078,0.0523774,0.1031302,0.0551904,-0.0327607,-0.0145066999999999,-0.1524479,-0.1684668,-0.2393469
Tunisia,TUN,Government Effectiveness - Lower bound of the 90% confidence interval for the governance score,GOV_WGI_GE.SC_LB,52.0863375,52.1388305,47.6367252,48.9593658,48.7823416,53.7534231,54.8448606,53.8135984,54.2574354,50.528644,46.6987398,46.4766444,43.3789145,44.3543005,44.3126825,43.4693195,45.6020407,46.5888792,45.6567367,43.9466138,44.3015449,41.8506923,41.5392205,40.18895
Tunisia,TUN,Control of Corruption - Number of sources,GOV_WGI_CC.SR,4,5,5,8,8,8,8,9,9,9,10,12,14,14,14,13,13,13,13,13,13,13,13,13
Tunisia,TUN,Control of Corruption - Upper bound of the 90% confidence interval for the governance score,GOV_WGI_CC.SC_UB,48.024243,54.0765003,50.3942717,50.9666395,48.3690272,52.9171017,51.7878346,48.0178002,48.2197864,50.1255653,54.9624885,53.3173517,53.0004907,53.4919977,52.9479032,52.1411465,52.3184401,53.3373949,52.7300598,52.9204112,50.4458127,49.2772669,49.41664,48.8223303
Tunisia,TUN,Government Effectiveness - Number of sources,GOV_WGI_GE.SR,3,5,5,6,6,6,7,7,7,7,9,9,10,10,10,10,10,10,10,10,10,11,11,12
Tunisia,TUN,Government Effectiveness - Upper bound of the 90% confidence interval for the governance score,GOV_WGI_GE.SC_UB,71.2979976,68.3820576,63.8799523,64.4666017,64.2895775,69.260659,70.1562642,69.125002,69.568839,65.8400476,61.5501601,61.3280647,56.8926445,57.8680305,57.8264125,56.9830495,59.1157707,60.1026092,59.1704668,57.4603438,57.815275,54.9018647,54.5903929,53.1842752
Tunisia,TUN,Government Effectiveness - Standard error of the governance estimate,GOV_WGI_GE.SE,0.3012347,0.2546903,0.2546903,0.2431501,0.2431501,0.2431501,0.2400795,0.2400795,0.2400795,0.2400795,0.2328671,0.2328671,0.2118924,0.2118924,0.2118924,0.2118924,0.2118924,0.2118924,0.2118924,0.2118924,0.2118924,0.2046396,0.2046396,0.2037639
